Towns,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Ang Mo Kio,48069,48068,48955,49848,48916,48915,49169,49168,50025,50733
Bedok,59929,59201,59199,59199,59197,59205,60115,61191,61100,61828
Bishan,19367,19367,19543,20023,19665,19665,19664,19664,20072,20072
Bukit Batok,31731,31731,31731,32095,32095,32275,32275,32498,33728,40612
Bukit Merah,50247,50247,50247,52962,51222,51185,51885,51832,52401,54423
Bukit Panjang,29498,29498,29954,30444,30681,31497,34463,35325,35325,35325
Bukit Timah,2423,2423,2423,2423,2423,2423,2423,2555,2555,2555
Central Area,10764,12611,12610,12611,12611,12609,12571,12571,12316,12349
Choa Chu Kang,39173,39511,39641,40093,40383,41257,42393,46425,48900,48900
Clementi,23873,23871,24001,25768,25816,24881,25480,25264,26226,26727
Geylang,30417,30510,30863,29261,29260,29257,29256,30230,30704,30304
Hougang,47819,47819,48488,48488,49784,50248,51646,52524,53862,54328
Jurong East,22299,22299,22299,23607,23943,23379,23379,23897,23897,23897
Jurong West,68758,68760,69639,68548,69246,70323,71755,72103,73510,74301
Kallang/Whampoa,34288,34288,36056,35758,35746,35742,35740,36364,39194,39194
Marine Parade,7865,7864,7864,7864,7864,7863,7862,7862,7862,7862
Pasir Ris,27514,27514,27514,27734,27734,27919,29207,29654,29654,29654
Punggol,17103,17980,20518,24859,28639,30877,35515,41747,43385,49229
Queenstown,29077,29812,30208,30756,29939,30493,30546,31504,31504,32678
Sembawang,17664,18421,18421,18421,18421,19855,20311,20311,22872,26834
Sengkang,42570,43848,46022,47849,50080,53458,59497,63047,65981,66605
Serangoon,21292,21292,21291,21538,21538,21538,21293,21488,21487,21634
Tampines,62099,62369,62837,63221,63676,64525,66599,67060,67911,68812
Toa Payoh,35419,35418,35414,35414,36617,36616,36439,36871,37358,37900
Woodlands,58025,58525,58525,59034,60065,61989,62675,63779,64602,68153
Yishun,46613,46965,47708,49024,49168,52877,56698,57538,60904,62786
