year,level_1,level_2,value
2013,Total,"Total",10503
2013,Total,"1",4990
2013,Total,"2",6996
2013,Total,"3",9333
2013,Total,"4",12070
2013,Total,"5",14457
2013,Total,"6 or More",17043
2013,Total,"Average Household Size (Persons)",3.5
2013,HDB Dwellings - Total HDB,"Total",7900
2013,HDB Dwellings - Total HDB,"1",3328
2013,HDB Dwellings - Total HDB,"2",5607
2013,HDB Dwellings - Total HDB,"3",7559
2013,HDB Dwellings - Total HDB,"4",9597
2013,HDB Dwellings - Total HDB,"5",10411
2013,HDB Dwellings - Total HDB,"6 or More",11842
2013,HDB Dwellings - Total HDB,"Average Household Size (Persons)",3.4
2013,HDB Dwellings - 1- & 2-Room Flats,"Total",1906
2013,HDB Dwellings - 1- & 2-Room Flats,"1",1105
2013,HDB Dwellings - 1- & 2-Room Flats,"2",1970
2013,HDB Dwellings - 1- & 2-Room Flats,"3",2632
2013,HDB Dwellings - 1- & 2-Room Flats,"4",3037
2013,HDB Dwellings - 1- & 2-Room Flats,"5",3432
2013,HDB Dwellings - 1- & 2-Room Flats,"6 or More",2970
2013,HDB Dwellings - 1- & 2-Room Flats,"Average Household Size (Persons)",2.1
2013,HDB Dwellings - 3-Room Flats,"Total",5130
2013,HDB Dwellings - 3-Room Flats,"1",3082
2013,HDB Dwellings - 3-Room Flats,"2",4512
2013,HDB Dwellings - 3-Room Flats,"3",5504
2013,HDB Dwellings - 3-Room Flats,"4",7245
2013,HDB Dwellings - 3-Room Flats,"5",7122
2013,HDB Dwellings - 3-Room Flats,"6 or More",8119
2013,HDB Dwellings - 3-Room Flats,"Average Household Size (Persons)",2.7
2013,HDB Dwellings - 4-Room Flats,"Total",8088
2013,HDB Dwellings - 4-Room Flats,"1",4552
2013,HDB Dwellings - 4-Room Flats,"2",6079
2013,HDB Dwellings - 4-Room Flats,"3",7773
2013,HDB Dwellings - 4-Room Flats,"4",8907
2013,HDB Dwellings - 4-Room Flats,"5",9408
2013,HDB Dwellings - 4-Room Flats,"6 or More",10707
2013,HDB Dwellings - 4-Room Flats,"Average Household Size (Persons)",3.6
2013,HDB Dwellings - 5-Room & Executive Flats,"Total",11044
2013,HDB Dwellings - 5-Room & Executive Flats,"1",5360
2013,HDB Dwellings - 5-Room & Executive Flats,"2",8401
2013,HDB Dwellings - 5-Room & Executive Flats,"3",10101
2013,HDB Dwellings - 5-Room & Executive Flats,"4",11672
2013,HDB Dwellings - 5-Room & Executive Flats,"5",12425
2013,HDB Dwellings - 5-Room & Executive Flats,"6 or More",14054
2013,HDB Dwellings - 5-Room & Executive Flats,"Average Household Size (Persons)",3.9
2013,Condominiums & Other Apartments,"Total",20536
2013,Condominiums & Other Apartments,"1",14334
2013,Condominiums & Other Apartments,"2",16154
2013,Condominiums & Other Apartments,"3",19005
2013,Condominiums & Other Apartments,"4",23781
2013,Condominiums & Other Apartments,"5",24411
2013,Condominiums & Other Apartments,"6 or More",26895
2013,Condominiums & Other Apartments,"Average Household Size (Persons)",3.4
2013,Landed Properties,"Total",26058
2013,Landed Properties,"1",8885
2013,Landed Properties,"2",9799
2013,Landed Properties,"3",16456
2013,Landed Properties,"4",25640
2013,Landed Properties,"5",37222
2013,Landed Properties,"6 or More",35211
2013,Landed Properties,"Average Household Size (Persons)",4.4
